,feature,Logistic Regression precision,Logistic Regression recall,Logistic Regression f1,Logistic Regression roc auc,XGB precision,XGB recall,XGB f1,XGB roc auc,Random Forest precision,Random Forest recall,Random Forest f1,Random Forest roc auc
0,tw_length_in_char,0.6874318173928556,0.3687500000000001,0.47988604206199187,0.7872468060856658,0.7143639417150549,0.3924479166666666,0.5065688301094667,0.8124202846692112,0.6915480981198767,0.37421875,0.4855965563199834,0.771968498197625
0,tw_length_in_word,0.714128321224687,0.3981770833333333,0.5111974224518034,0.7985839429601357,0.7289548373548205,0.4052083333333334,0.5206876716393937,0.818672868956743,0.6934460518480229,0.3776041666666667,0.48888038492768887,0.7715168773854962
0,ttl_length_in_char,0.7166330373602422,0.3997395833333333,0.5131431502709215,0.799611362913486,0.7278166226154431,0.40651041666666665,0.5214742159917443,0.8187657376484309,0.6889683177014319,0.38645833333333335,0.49516441692049246,0.7798099223388465
0,ttl_length_in_word,0.7169737856402075,0.403125,0.5160237468977015,0.7990090913910093,0.7306955245588252,0.4075520833333333,0.523080336457317,0.8186771761026294,0.6963709904127472,0.3841145833333333,0.4950174012738615,0.781034278254877
0,tw_percent_sw,0.7219929964469758,0.3932291666666667,0.5090111810520742,0.7967738152035624,0.7350258984822133,0.39999999999999997,0.5178685769412693,0.8156776797073791,0.7074287581033131,0.37890625,0.49343274528035835,0.7757592504240881
0,ttl_percent_sw,0.7185214098661218,0.39921875,0.5131149557464515,0.7993643977947412,0.7298540047106649,0.4044270833333334,0.5202399406032091,0.8186975190839695,0.6846073413943706,0.3731770833333334,0.4830390086200831,0.7741413539016117
0,tw_punct,0.7255586049192296,0.3953125,0.5116910614058535,0.7960516062340967,0.7295837768396162,0.40390624999999997,0.5197990263927235,0.8164309663910093,0.6959865503261722,0.3773437499999999,0.48928629123635686,0.774640949692536
0,ttl_punct,0.7211015617696809,0.3986979166666667,0.5133856709136372,0.798346453562341,0.7257984808480717,0.40651041666666665,0.5209996037208221,0.817750046384648,0.6918739354442834,0.3703125,0.48234601157851625,0.7770002054177269
0,tw_num_hash,0.7148713178520606,0.403125,0.5154304637136004,0.7993964694656489,0.7285921068525552,0.40651041666666665,0.5216601132415911,0.8187504638464801,0.698194344325571,0.38463541666666673,0.4958910028769596,0.7779741173664121
0,tw_senti,0.7109408338909263,0.4010416666666667,0.5127475961538741,0.7997321617896523,0.7282122001304826,0.4044270833333334,0.5198424377656645,0.8184888875636132,0.6982057446710637,0.3708333333333333,0.48428469853309397,0.7773185366306191
0,ttl_senti,0.7168553830541899,0.40208333333333335,0.5151087060795653,0.7988124867472436,0.7277378654658602,0.40625,0.5212412548886453,0.8188959791136555,0.6978289576496328,0.3825520833333333,0.4941001852753418,0.7818833161047497
0,tw_subj,0.7176120049190375,0.40546875,0.5180999165849927,0.799537213740458,0.7285921068525552,0.40651041666666665,0.5216601132415911,0.8187504638464801,0.6909001413234866,0.3768229166666666,0.48763456084748585,0.7778834022476676
0,ttl_subj,0.7176120049190375,0.40546875,0.5180999165849927,0.799537213740458,0.7285921068525552,0.40651041666666665,0.5216601132415911,0.8187504638464801,0.6846643663855271,0.3729166666666666,0.4827753809866464,0.7810412690839694
0,tw_if_super,0.7178561141923211,0.40130208333333334,0.5147481417218259,0.7997419688295165,0.7298455848454837,0.40781249999999997,0.5230681438021546,0.8187771018871924,0.684603384423443,0.3731770833333334,0.48299354798204835,0.7777931841072944
0,ttl_if_super,0.7136018666413116,0.40260416666666665,0.5146995880934774,0.7995295271416455,0.7298991673823073,0.40651041666666665,0.5219986829880287,0.8187906528307888,0.6970904535683098,0.37395833333333334,0.4867797361168507,0.7777462693490246
0,tw_start_num,0.7110044135662795,0.3950520833333333,0.5078430700388824,0.7982929786895673,0.7278968583500598,0.4041666666666666,0.5196390372827127,0.8180941210771842,0.7035424419964721,0.3885416666666666,0.5004305330946509,0.7759032416242578
0,ttl_start_num,0.712254333498466,0.4000000000000001,0.5122211096172248,0.7990123383163699,0.7291763307619666,0.40520833333333334,0.5208237079333664,0.8185429256785411,0.6874779923778416,0.38177083333333334,0.49088635695626276,0.7845327409351146
0,tw_ttl_sim_1gram,0.7170373164152372,0.3927083333333334,0.5072854182933043,0.7958804468829518,0.7329777141288686,0.4028645833333333,0.5198751749748346,0.816925459870653,0.6979849924928446,0.37734375000000003,0.48980078439050995,0.7785897079092452
0,tw_ttl_sim_2gram,0.716944105488774,0.4020833333333333,0.5151346180210726,0.7992693755301102,0.7285921068525552,0.40651041666666665,0.5216601132415911,0.8187504638464801,0.7028104294640274,0.38828124999999997,0.5000988592186262,0.7785324891327395
0,tw_ttl_sim_3gram,0.7146530048347534,0.4002604166666666,0.513028335066278,0.7998390452714164,0.7285921068525552,0.40651041666666665,0.5216601132415911,0.8187504638464801,0.6973547658214527,0.3796875,0.4916341724677397,0.775022629081849
0,tw_ttl_sim_4gram,0.7185304250368197,0.40338541666666666,0.516633448274595,0.7991019932145886,0.7285921068525552,0.40651041666666665,0.5216601132415911,0.8187504638464801,0.6999834245872845,0.37604166666666666,0.4892489146749582,0.7766594770462256
0,tw_ttl_sim_5gram,0.7172388989999053,0.40416666666666673,0.5169393329946438,0.7991681907336726,0.7285921068525552,0.40651041666666665,0.5216601132415911,0.8187504638464801,0.6961092735595154,0.3791666666666667,0.49085264456911926,0.7758169661789652
0,tw_emoji_pct,0.7171108645913127,0.39817708333333335,0.511934941561946,0.7992312738549617,0.7285921068525552,0.40651041666666665,0.5216601132415911,0.8187504638464801,0.6998598420184331,0.3833333333333333,0.49519601768208105,0.7801449188931296
0,tw_proper_noun_pct,0.7100697619571035,0.39765625,0.5096988090290285,0.7934700355173877,0.7305099625781691,0.39036458333333335,0.5085478217755267,0.8130544622031383,0.7046278600626428,0.3588541666666667,0.4753401321481346,0.7733104723282445
0,ttl_proper_noun_pct,0.7217675639224304,0.3940104166666667,0.509687761561418,0.7975415473918576,0.7326625586321057,0.4028645833333333,0.5197876383662394,0.8175537730597965,0.6858016949839044,0.3776041666666667,0.48702881045065244,0.7745223706530959
0,pm_has_media,0.7169511382793248,0.3822916666666667,0.49854071146968,0.7940327475614928,0.7208650251741501,0.4015625,0.5155786373161242,0.8180269627332484,0.6845934258914405,0.371875,0.4819215757248127,0.7725889922603901
0,time_stamp_hr,0.7158274056704735,0.4026041666666667,0.5152842868985409,0.8000799803859202,0.7277233698013724,0.40625,0.5212496273560444,0.8187743188083122,0.6948437714464045,0.3812499999999999,0.49234567375822286,0.7790816833651398
0,time_stamp_day,0.7167701847999535,0.4028645833333333,0.5156902132749199,0.7996319378180661,0.7287462705616147,0.40703125,0.5221708290323105,0.8187270727311282,0.6823634479092333,0.3851562499999999,0.4923672498970188,0.7780829224978797
0,tc_num,0.7161629813489302,0.39947916666666666,0.5127853806400723,0.7989491889312977,0.7219492210774355,0.4041666666666666,0.5180467037791354,0.8170322770886345,0.6926081876005351,0.3822916666666667,0.4924155386364674,0.7735416335347752
0,td_len,0.7160198915351002,0.4015625,0.5144795223019947,0.7980370679601357,0.7302230791474171,0.40078125000000003,0.5174190784850636,0.8121237211089908,0.6708208227144494,0.3815104166666667,0.4863670021215,0.7724749522900763
0,tk_len,0.7167880371841342,0.39947916666666666,0.5129295240476979,0.7976092689779474,0.7296185721784306,0.40598958333333335,0.5215504735705268,0.8184683457909245,0.6928002079269846,0.38776041666666666,0.49709002272317004,0.7782104471480068
0,tp_len,0.7150618224738928,0.4036458333333333,0.5159597312132732,0.8004207750212045,0.7308846139893572,0.4057291666666667,0.5216590402612463,0.8162403917514842,0.6973159902972365,0.3875,0.4979041680920558,0.7826697015479219
