,feature,Logistic Regression precision,Logistic Regression recall,Logistic Regression f1,Logistic Regression roc auc,XGB precision,XGB recall,XGB f1,XGB roc auc,Random Forest precision,Random Forest recall,Random Forest f1,Random Forest roc auc
0,tw_length_in_char,0.7815914394224076,0.16171875,0.2679547963553465,0.6869707511662426,0.7626677037954108,0.16458333333333333,0.2698773475112319,0.6848356989503817,0.7361991653584603,0.16510416666666666,0.26967004527278887,0.6787674936386768
0,tw_length_in_word,0.8966169523691647,0.060677083333333326,0.11257672381954649,0.6183656700593724,0.8146140234908987,0.10781249999999999,0.1893525136282983,0.6171134502226464,0.813267172672993,0.10807291666666667,0.18972607255290833,0.6147000238549619
0,ttl_length_in_char,0.0,0.0,0.0,0.5494560074745547,0.7159420289855073,0.003385416666666667,0.006688772172500653,0.5642989291772689,0.3904254548090164,0.01640625,0.03140514985670042,0.5554549008693809
0,ttl_length_in_word,1.0,0.0013020833333333333,0.002599699953494211,0.5013754373409669,0.8222222222222223,0.001822916666666667,0.0036348846969685386,0.5169032283715013,0.706060606060606,0.0033854166666666668,0.006699497970295783,0.5164476979961831
0,tw_percent_sw,0.3333333333333333,0.00026041666666666666,0.0005204267499349468,0.5863666242578456,0.5911007871983481,0.03177083333333333,0.059500778461693236,0.659194663114928,0.5136311674101429,0.057031250000000006,0.10254181712134171,0.6673730054601358
0,ttl_percent_sw,0.0,0.0,0.0,0.5123997760284139,0.08333333333333333,0.00026041666666666666,0.0005192107995846313,0.5610607175042409,0.3506243453228736,0.022395833333333334,0.0420824983437069,0.5553723030640373
0,tw_punct,0.454229797979798,0.010416666666666666,0.02035758061067217,0.5464772185114504,0.0,0.0,0.0,0.546495308524173,0.5111111111111111,0.0018229166666666665,0.00363245595146751,0.5462474157124683
0,ttl_punct,0.4501262626262626,0.0049479166666666664,0.009785609998623166,0.5325299843617471,0.0,0.0,0.0,0.5325189514418999,0.3333333333333333,0.00026041666666666666,0.0005204267499349468,0.5323117777247668
0,tw_num_hash,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
0,tw_senti,0.0,0.0,0.0,0.540551314673452,0.0,0.0,0.0,0.5599366186916879,0.42757211267849565,0.05572916666666666,0.09847272982200976,0.5700883958863444
0,ttl_senti,0.0,0.0,0.0,0.5327868559160306,0.0,0.0,0.0,0.5500818026399491,0.31750235223814854,0.03619791666666666,0.06448370637272315,0.5536439448155216
0,tw_subj,0.0,0.0,0.0,0.5386708479113655,0.0,0.0,0.0,0.559846731870229,0.3024013024013024,0.01875,0.03528428406395079,0.5607143235793045
0,ttl_subj,0.0,0.0,0.0,0.5386708479113655,0.0,0.0,0.0,0.559846731870229,0.31766311766311767,0.015625,0.029761272802171737,0.5631169158184902
0,tw_if_super,0.0,0.0,0.0,0.5129794184690416,0.0,0.0,0.0,0.5129794184690416,0.0,0.0,0.0,0.5129794184690416
0,ttl_if_super,0.0,0.0,0.0,0.5137547047285836,0.0,0.0,0.0,0.5137547047285836,0.0,0.0,0.0,0.5137547047285836
0,tw_start_num,0.594636645493043,0.13854166666666665,0.22463361381873925,0.5538764312977099,0.594636645493043,0.13854166666666665,0.22463361381873925,0.5538764312977099,0.594636645493043,0.13854166666666665,0.22463361381873925,0.5538764312977099
0,ttl_start_num,0.5965845925390805,0.14583333333333334,0.2342363433924196,0.5568861323155216,0.5965845925390805,0.14583333333333334,0.2342363433924196,0.5568861323155216,0.5965845925390805,0.14583333333333334,0.2342363433924196,0.5568861323155216
0,tw_ttl_sim_1gram,0.0,0.0,0.0,0.6146688798770145,0.5521524293817847,0.20781249999999998,0.30185048768136885,0.6299632567324004,0.5386710616805216,0.2109375,0.3030473627082955,0.6177106525657337
0,tw_ttl_sim_2gram,0.0,0.0,0.0,0.5988660278837998,0.0,0.0,0.0,0.618879943278202,0.1670087575259989,0.0028645833333333336,0.005628116785697933,0.6124152154898219
0,tw_ttl_sim_3gram,0.0,0.0,0.0,0.5727711845313825,0.0,0.0,0.0,0.589490663432994,0.21957671957671956,0.003645833333333333,0.007130520306393818,0.5840491809796436
0,tw_ttl_sim_4gram,0.0,0.0,0.0,0.5574975151081425,0.0,0.0,0.0,0.5687757434796438,0.21369395711500974,0.0033854166666666668,0.006663541126485764,0.5590034258375742
0,tw_ttl_sim_5gram,0.0,0.0,0.0,0.5484017838210348,0.0,0.0,0.0,0.554625278307888,0.2665674603174603,0.005208333333333333,0.010210599695163552,0.5458830311704835
0,tw_emoji_pct,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
0,tw_proper_noun_pct,0.0,0.0,0.0,0.682145753816794,0.5170063909496762,0.434375,0.47209949383135924,0.6952960665818492,0.517075145914331,0.43645833333333334,0.47335456355922867,0.6947236137616623
0,ttl_proper_noun_pct,0.0,0.0,0.0,0.5493193715542833,0.0,0.0,0.0,0.5706785742684479,0.34309687261632343,0.01171875,0.022611256921260047,0.5632720724660728
0,pm_has_media,0.0,0.0,0.0,0.5424483142493638,0.0,0.0,0.0,0.541917806403732,0.0,0.0,0.0,0.5412892281594571
0,time_stamp_hr,0.0,0.0,0.0,0.5090594849978796,0.0,0.0,0.0,0.5145474183630195,0.0,0.0,0.0,0.5205442575805768
0,time_stamp_day,0.0,0.0,0.0,0.5122234481022052,0.0,0.0,0.0,0.5139979590754876,0.0,0.0,0.0,0.5195895952608142
0,tc_num,0.38095238095238093,0.0005208333333333333,0.0010384272679354646,0.5454669608778626,0.6793304684830108,0.09505208333333333,0.16675921490316156,0.6025075209393554,0.6657034684671798,0.09765625,0.17032011173362815,0.608519136980492
0,td_len,0.0,0.0,0.0,0.589072969677693,0.352791825993997,0.0703125,0.11721339956831812,0.6154206424936387,0.49314322514610676,0.1338541666666667,0.2105519606703381,0.5818462415182358
0,tk_len,0.0,0.0,0.0,0.5229421119592875,0.0,0.0,0.0,0.5227741664016116,0.0,0.0,0.0,0.5188588713952502
0,tp_len,0.0,0.0,0.0,0.5203711765797286,0.0,0.0,0.0,0.5506914625742154,0.30209433468660074,0.10911458333333335,0.16029262180177262,0.5095599753498727
